remained_group,n_columns,model,acc,tpr
A_KEY_TIME_MEAN,1,RandomForestClassifier(),0.2243155725640271,0.2243155725640271
BOTH_DEV_C_COUNT,1,RandomForestClassifier(),0.10715337062113629,0.10715337062113629
GAP,9,RandomForestClassifier(),0.9888136591109803,0.9888136591109803
GAP_SD,1,RandomForestClassifier(),0.06123049749779217,0.06123049749779217
KEY_COUNT,1,RandomForestClassifier(),0.014424492198999116,0.014424492198999116
KEY_GAP_TIME,9,RandomForestClassifier(),0.9817486017073889,0.9817486017073889
KEY_TIME,10,RandomForestClassifier(),0.9581984103620842,0.9581984103620842
KEY_TIME_MEAN,1,RandomForestClassifier(),0.20194289078598765,0.20194289078598765
MOUSE_COUNT,1,RandomForestClassifier(),0.026199587871651456,0.026199587871651456
MOUSE_DDIR,2,RandomForestClassifier(),0.5943479540771269,0.5943479540771269
MOUSE_DIR,9,RandomForestClassifier(),0.9917574330291433,0.9917574330291433
MOUSE_DIST,9,RandomForestClassifier(),0.9711510156020018,0.9711510156020018
MOUSE_GAP,9,RandomForestClassifier(),0.9891080365027966,0.9891080365027966
MOUSE_SPEED,9,RandomForestClassifier(),0.9623196938475125,0.9623196938475125
MULTIPLE_KEYS_DOWN,10,RandomForestClassifier(),0.24109508389755666,0.24109508389755666
MULTIPLE_KEYS_UP,10,RandomForestClassifier(),0.158375036797174,0.158375036797174
